Species,Wavelengths,Oscillator Strength,Upper Bound,Ratio,,
S III,1190.206,1.22E+08,10.41707,29.90:19.56:1,,
,1194.457,7.98E+07,,,,
,1202.12,4.08E+06,,,,
,,,,,,
S III,1194.061,2.69E+08,10.42046,3.96:1,,
,1201.73,6.80E+07,,,,
,,,,,,
S II,1203.861,2.21E+07,12.140391,1:15.70,,
,1204.335,3.47E+08,,,,
,,,,,,
S II,1204.29,2.36E+08,12.136905,12.29:1,,
,1204.735,1.92E+07,,,,
,,,,,,
S II,1233.44,6.96E+06,13.092615,1:5.49,,
,1234.157,3.82E+07,,,,
,,,,,,
S I,1241.905,3.66E+07,9.983389,4.59:2.83:1,,
,1248.045,2.26E+07,,,,
,1250.814,7.98E+06,,,,
,,,,,,
S I,1253.297,1.59E+07,9.941747,1:1.50,,
,1256.093,2.39E+07,,,,
,,,,,,
S I,1262.86,4.44E+07,9.817732,1.81:1,,
,1269.209,2.45E+07,,,,
,,,,,,
S I,1277.199,3.15E+07,9.75663,1:1.29,,
,1280.099,4.05E+07,,,,
,,,,,,
S I,1295.652,1.73E+09,9.569243,2.88:1,,
,1302.337,6.00E+08,,,,
,,,,,,
S I,1296.174,4.38E+08,9.565398,1:1.05:1.34,,
,1302.863,4.59E+08,,,,
,1305.883,5.88E+08,,,,
,,,,,,
O I,1302.168,1.02E+09,9.5213638,5.02:3:1,,
,1304.858,6.09E+08,,,,
,1306.029,2.03E+08,,,,
,,,,,,
S I,1303.4295,8.85E+07,9.512148,5.33:3.07:1,,
,1310.194,5.10E+07,,,,
,1313.249,1.66E+07,,,,
,,,,,,
S I,1316.618,1.05E+08,9.416891,1:2.88,,
,1323.515,3.02E+08,,,,
,,,,,,
S I,1323.522,1.02E+08,9.416842,1:1.30,,
,1326.643,1.33E+08,,,,
,,,,,,
Cl I,1335.726,3.48E+08,9.2821597,1:1.86,,
,1351.657,6.46E+08,,,,
,,,,,,
Cl I,1347.24,1.68E+09,9.202832,5.60:1,,
,1363.447,3.00E+08,,,,
,,,,,,
O I,1355.598,2.10E+04,9.1460911,3.09:1,,
,1358.512,6.80E+03,,,,
,,,,,,
S I,1381.552,1.63E+06,8.9742649,3.21:1:3.06,,
,1389.154,5.07E+05,,,,
,1392.588,1.55E+06,,,,
,,,,,,
S I,1388.435,2.77E+06,8.9297753,1:1.04,,
,1396.112,2.88E+06,,,,
,,,,,,
S I,1401.514,2.24E+08,8.846446,5.26:3.05:1,,
,1409.337,1.30E+08,,,,
,1412.873,4.26E+07,,,,
,,,,,,
S IV,1404.808,1.15E+05,8.8257,1.29:1,,
,1423.845,8.90E+04,,,,
,,,,,,
S I,1425.219,3.15E+07,8.6993079,1:14.86:19.71,,
,1433.311,4.68E+08,,,,
,1436.968,6.21E+08,,,,
1389.957,3.40E+06,,,,,
1392.588,1.55E+06,,,,,
1396.112,2.88E+06,,,,,
1401.514,2.24E+08,,,,,
1404.808,1.15E+05,,,,,
1406.009,2.72E+05,,,,,
1409.337,1.30E+08,,,,,
1412.873,4.26E+07,,,,,
1416.887,6.56E+04,,,,,
1423.845,8.90E+04,,,,,
1425.03,2.65E+09,,,,,
1425.219,3.15E+07,,,,,
1433.28,1.40E+09,,,,,
1433.311,4.68E+08,,,,,
1436.968,6.21E+08,,,,,
1448.229,1.50E+09,,,,,
